prompt_length,embedding_norm,response_length,response_quality
68.1025,0.950008,101.538268,0.369442
73.756919,1.068501,99.23255,0.343379
73.172164,1.059494,135.668439,0.043706
96.024393,0.993978,84.370325,0.119451
113.616745,0.979698,117.904025,0.079995
89.252593,1.001592,180.992947,0.39914
82.940836,1.003901,130.421324,0.200518
79.44189,1.112354,149.222661,0.543772
82.295868,0.914672,114.69172,0.152992
70.245135,0.947549,96.019554,0.116125
87.399472,0.815316,122.1628,0.151429
81.147919,0.952408,107.030431,0.379839
65.679668,1.096424,139.506712,0.236757
89.735612,0.772314,124.895198,0.656857
68.151133,0.896789,110.541536,0.295469
88.052044,1.136784,86.748036,0.211562
58.348617,0.814374,117.319289,0.039782
70.159735,0.953336,65.514682,0.127054
45.550525,0.852581,123.427738,0.376888
82.355392,0.935744,116.992776,0.278614
113.714824,0.97044,94.572056,0.167811
96.526749,0.886454,67.706409,0.141912
71.242691,1.051329,193.401881,0.307428
82.001449,1.046341,154.03854,0.46379
50.045396,1.055986,125.487932,0.161505
91.411327,0.882023,150.453,0.420999
73.422006,1.055938,90.945549,0.379916
107.221345,1.000136,115.182708,0.441953
112.156715,1.0062,187.483351,0.209198
82.215769,1.184251,119.743057,0.230338
102.864566,1.065049,99.483249,0.360232
54.533726,1.038103,84.81115,0.312153
107.249406,1.270664,190.614728,0.073225
75.352238,0.950469,158.569195,0.271632
43.359895,1.101322,226.809576,0.408346
60.214879,1.018805,140.924614,0.169149
109.790126,1.12849,101.035633,0.376739
113.363293,1.110164,159.184097,0.109315
103.082385,1.056925,114.954169,0.240207
73.452632,0.9933,102.790507,0.194646
61.817786,0.915027,74.466729,0.335616
107.198638,1.112455,62.860396,0.24764
82.216785,0.765126,119.328067,0.189308
75.069147,1.087063,115.567102,0.138262
73.616384,0.957756,80.646112,0.115555
100.201237,0.88969,120.046392,0.255746
77.126955,0.870693,75.936912,0.0762
141.798025,1.055469,78.840494,0.255102
81.033571,0.818712,115.969945,0.161517
78.743937,0.913355,109.232166,0.266439
68.933784,0.985801,111.287943,0.09201
72.564284,1.09228,69.067122,0.344469
82.14424,1.054084,133.214745,0.318408
117.561002,1.147034,198.440421,0.402345
69.242227,0.891416,175.160972,0.273491
79.689689,0.905546,27.996794,0.273313
66.142774,0.854441,158.317764,0.183362
63.239808,1.100638,143.007075,0.607571
70.641237,0.964756,117.925953,0.104396
49.444919,0.958763,112.057204,0.044728
86.537115,0.981566,73.446193,0.43144
76.444226,0.960102,51.149358,0.14541
95.841284,1.115077,126.396969,0.153822
75.262975,1.015887,111.41868,0.209432
101.912299,1.000045,165.686106,0.427585
76.972385,0.958877,74.218519,0.414747
86.045248,1.06434,96.760056,0.220019
120.98617,1.068501,133.822625,0.221886
84.44724,1.105224,103.06909,0.103862
61.709064,0.898065,58.081715,0.41635
