prompt_length,embedding_norm,response_length,response_quality
47.838645,0.98271,115.547366,0.862172
60.529756,1.02323,166.542347,0.906806
50.624853,0.989368,141.271049,0.926355
28.196821,1.078233,75.471111,0.841853
36.262849,1.087601,146.570636,0.928453
31.713879,1.063841,133.995404,0.622561
42.950476,1.049933,109.995377,0.920906
85.036313,1.050569,153.432694,0.61672
50.50297,1.025324,107.376313,0.662504
60.85448,1.095227,97.326687,0.727167
22.380706,0.891752,97.290544,0.518325
56.236415,1.090339,135.241885,0.449214
47.734542,1.142332,152.65498,0.791998
60.333258,1.172488,77.795972,0.712969
51.466645,0.875871,128.797817,0.316711
31.855736,0.987786,132.925826,0.963138
73.003193,1.071239,122.082847,0.875398
42.175255,0.938898,132.815674,0.902313
71.721525,0.995585,75.310205,0.779402
56.867756,1.00879,147.992985,0.805871
53.655546,0.970404,124.478682,0.75286
72.24153,1.022973,95.679593,0.728678
47.058426,0.851697,138.118009,0.892909
49.321781,0.928733,135.235601,0.774565
45.406325,0.98998,196.063559,0.909556
49.871403,0.971743,128.099663,0.863791
34.893318,1.029254,246.597684,0.918651
36.954062,1.129037,109.719504,0.954707
20.645918,0.996495,175.926724,0.630392
81.898222,1.004692,140.12791,0.842014
15.315783,0.966672,137.995133,0.662291
72.830191,0.932561,181.093431,0.899659
46.671715,1.231617,180.264192,0.578698
29.007805,0.774444,43.745321,0.799165
54.93781,1.037005,159.719747,0.644302
61.861935,0.947942,96.607534,0.825251
75.753059,1.003826,99.694656,0.861308
41.128292,1.184468,157.738951,0.737036
54.67941,1.041874,89.343623,0.914804
79.990697,1.039053,38.433946,0.906324
77.047524,0.794446,150.779285,0.698732
21.255647,1.064397,44.354044,0.65775
54.761078,1.181419,86.921588,0.979855
53.15973,0.905623,190.480644,0.940087
48.250853,0.914022,82.3952,0.868231
38.888948,1.227933,120.968899,0.693457
46.242601,1.028695,101.622886,0.654716
38.473611,0.96271,158.173748,0.916497
70.99542,0.944952,165.309314,0.791118
38.107196,0.936963,83.044607,0.800316
52.608644,0.941547,161.477092,0.658734
59.171606,0.966738,94.758139,0.842537
53.420946,0.968501,71.565804,0.737355
60.827747,0.994131,116.495566,0.947786
66.957101,1.224957,107.241312,0.768939
49.457852,0.852917,16.737169,0.719684
59.164257,0.889804,172.706087,0.881104
35.103419,1.012041,71.686628,0.950275
48.209135,1.086961,98.860143,0.784488
47.956494,0.941235,133.747401,0.751583
65.878717,0.866553,116.821799,0.552609
51.113841,0.855101,152.329288,0.896877
46.651211,1.009522,88.930683,0.796029
69.385424,0.983184,113.501433,0.965857
60.985029,1.083807,157.119431,0.59324
54.550351,1.002385,44.463384,0.96679
63.922097,0.999946,79.060946,0.977773
28.829304,1.104405,162.407712,0.724123
60.128257,1.118879,119.742864,0.903197
42.602117,1.097074,109.55371,0.761368
70.699227,1.1028,151.926653,0.533645
33.584961,0.913357,136.741945,0.59698
80.08593,1.156671,70.516566,0.736664
28.795381,0.97713,192.114259,0.828554
46.620212,1.194073,128.273578,0.83684
44.4173,1.037546,99.587213,0.806834
46.357951,0.923337,217.088823,0.690221
52.325324,0.947468,66.328296,0.936517
45.412572,0.920148,80.525553,0.689212
41.672591,0.976795,89.587198,0.87348
25.219781,0.96213,131.069575,0.870647
59.617437,1.024712,146.985494,0.71399
68.796831,0.979583,113.257429,0.874833
42.627449,1.013018,131.902292,0.962301
58.047781,1.018788,88.576022,0.837274
45.089427,0.81435,147.9428,0.712931
52.707152,1.066443,107.524206,0.987898
42.583964,0.931024,101.549398,0.640845
36.948401,0.790367,133.19176,0.84981
29.580136,0.868865,50.014307,0.583771
48.143001,1.050026,96.680442,0.961463
28.438081,0.966677,147.285334,0.463286
106.280881,0.880134,105.127884,0.653732
39.501662,1.054691,107.260679,0.816738
42.201351,1.073522,82.0021,0.848793
24.029197,1.049148,73.422957,0.853964
35.136638,1.068094,178.405196,0.906926
48.361994,1.005672,63.991103,0.827764
28.51324,1.058685,197.76659,0.921647
77.881305,0.958126,114.294562,0.603991
46.273958,0.883364,108.869458,0.572675
78.153868,0.970995,189.710573,0.782401
47.411979,1.082429,-6.181726,0.783523
21.232853,0.881383,103.949081,0.898647
40.153722,0.968201,121.909817,0.694289
45.576211,0.904304,56.474952,0.582821
61.36898,0.923432,76.386238,0.779665
47.309313,0.741001,140.106541,0.701905
67.814359,0.841494,94.553029,0.958357
58.960051,1.303571,54.164239,0.949986
61.310567,0.922267,90.193937,0.7523
19.554802,1.075092,159.010568,0.914535
64.358523,0.899136,125.088365,0.824381
83.080307,1.180399,124.265679,0.948983
38.719949,1.109812,92.990136,0.870566
37.921411,0.92682,123.099898,0.883117
40.270752,0.848024,172.051077,0.871084
56.212818,0.927101,96.769278,0.750597
34.532039,0.839341,60.108851,0.842811
26.604875,0.995192,102.720962,0.886368
11.209401,0.934627,33.159729,0.711477
43.606935,1.05758,57.855627,0.658392
76.534007,0.9631,72.95938,0.596509
69.813567,0.937861,73.169128,0.952528
80.765162,1.032517,37.66274,0.542617
37.458185,0.967005,158.794438,0.801285
75.675685,1.119807,148.94741,0.854235
62.416954,0.897814,122.74,0.925682
10.201224,0.923881,94.566388,0.650558
61.726573,0.982973,115.235872,0.944906
73.197782,1.071131,127.42045,0.947302
60.08636,1.197695,121.409028,0.826321
48.182302,0.980622,190.359287,0.616964
52.470732,0.996903,74.52461,0.948962
54.206424,0.989987,136.652051,0.811078
20.525025,0.95463,77.256118,0.908154
37.32233,0.906437,61.153676,0.763274
93.185187,0.941595,45.266206,0.730956
39.692296,1.021588,96.688597,0.812914
63.981412,0.959482,136.350323,0.491285
33.510415,0.933614,110.199898,0.644597
56.720235,0.952468,16.592589,0.787514
44.088473,0.940627,180.099876,0.745314
68.223534,1.152519,30.417866,0.913474
46.223338,0.917793,117.632009,0.891776
51.402672,0.983283,112.588791,0.864289
33.573499,1.116538,128.692197,0.630384
30.851884,0.939402,80.756463,0.815943
42.476015,0.895984,113.933006,0.983418
46.032596,1.013104,141.092324,0.980414
56.603801,1.087345,106.478288,0.963637
33.075432,1.018769,122.043837,0.863503
46.073038,0.899353,126.154443,0.714891
52.039174,1.037612,111.700685,0.834204
39.74607,1.0525,100.801666,0.896337
61.421456,1.076985,99.332309,0.934467
29.718594,0.898616,106.026147,0.741618
42.23599,0.784489,148.666546,0.761247
44.017152,0.958987,159.303485,0.942675
56.74268,0.959368,160.744135,0.890658
62.732879,0.890981,75.458026,0.64706
49.257748,0.950636,160.937617,0.89904
36.847146,1.13179,95.390235,0.775583
49.736153,1.052401,152.460531,0.822487
55.283603,0.859992,136.316814,0.735552
52.689569,1.169072,74.868848,0.904529
72.750627,0.968786,78.140203,0.600383
62.66402,1.077995,62.360904,0.775569
40.800338,1.072426,131.783639,0.924278
59.430974,1.138155,160.758589,0.975274
50.813216,0.947274,102.989037,0.874666
56.242711,0.967128,93.638533,0.667885
37.385036,0.981749,136.205912,0.534736
34.254282,0.920987,127.760135,0.869463
63.413693,0.909578,181.836175,0.761537
67.43092,1.046761,107.341156,0.885469
47.957304,1.018847,164.613046,0.798638
55.816956,1.173403,87.799692,0.93123
61.122315,0.864644,160.234366,0.939869
67.958988,1.064197,76.556558,0.94478
48.517775,1.02968,57.739346,0.975973
62.868879,1.002819,142.241823,0.878301
46.747895,0.963668,134.785526,0.841628
49.109483,0.814656,35.18931,0.586091
47.742506,0.860127,128.782492,0.750225
25.770217,1.078815,181.958715,0.738486
73.941107,1.066818,87.832228,0.916602
53.285415,0.700702,108.392009,0.854536
58.96013,0.932926,147.185986,0.873304
60.127708,0.821584,111.314023,0.802071
37.331141,0.975189,171.539991,0.793696
60.636281,0.982477,129.452992,0.965355
32.388104,1.136062,77.583568,0.919969
16.520072,0.934413,149.261319,0.735647
32.340612,1.122233,76.087125,0.871576
41.74952,0.989431,73.158921,0.866006
2.561062,1.111011,100.241312,0.938701
82.592859,1.049564,91.032233,0.755083
64.071103,0.873182,171.159132,0.946703
40.575272,1.113637,174.162804,0.682138
30.437979,0.956129,149.484344,0.821827
56.653365,0.885231,187.995694,0.929648
19.939159,1.090307,139.361103,0.797804
52.635204,0.865048,198.342535,0.929024
42.635083,0.983759,103.904904,0.732875
67.512092,0.848174,72.80783,0.753343
35.099172,0.86121,70.564897,0.870133
60.715424,0.820307,127.732034,0.849031
55.837529,1.130947,95.601151,0.875944
72.056667,0.952837,160.675424,0.918
34.519349,1.091971,120.870469,0.684966
80.033912,1.009672,73.180958,0.852151
18.984076,1.006636,94.469701,0.829883
36.052422,0.976069,52.717129,0.746679
44.462252,0.987172,52.009318,0.669479
49.318105,1.098848,113.758713,0.926889
45.432426,0.999985,143.460535,0.752121
60.240229,0.935161,168.639114,0.589299
35.457773,1.160748,58.464872,0.814363
45.245472,1.131335,113.329199,0.857876
55.327496,0.830662,63.508967,0.762876
38.760663,1.030651,100.990078,0.979384
63.335514,1.124708,61.580982,0.955894
63.829927,0.93307,172.502261,0.910125
42.310171,1.078229,128.801668,0.782471
26.263345,1.002795,171.107757,0.826716
56.216175,1.150657,104.851358,0.932979
62.678868,0.956522,84.990237,0.936341
46.909713,0.910113,91.203553,0.781667
54.090085,0.981969,99.494332,0.897128
29.023605,0.972374,159.081984,0.819076
55.016868,0.805041,171.642261,0.936979
40.653853,1.129928,134.500205,0.712833
46.449512,1.053046,107.130748,0.905249
85.377016,0.900758,193.168596,0.802688
36.244559,0.935228,237.428059,0.818331
56.7873,1.038718,90.172106,0.559185
52.953403,1.002842,95.176257,0.719826
69.080857,1.077116,128.773246,0.85784
57.574081,1.005858,20.752341,0.976901
48.109496,0.966475,145.222436,0.85154
